date,portfolio_return,portfolio_value,weight_WTI,weight_XLE,weight_XOM,weight_CVX,weight_IEF
2002-07-31,0.0091302583013354,1.0091302583013353,0.0,0.0,0.0,0.0,1.0
2002-08-01,0.0041129398818109,1.013280750386645,0.0,0.0,0.0,0.0,1.0
2002-08-02,0.007693475990564,1.0210764015114453,0.0,0.0,0.0,0.0,1.0
2002-08-05,0.0050170958852472,1.0261992397239914,0.0,0.0,0.0,0.0,1.0
2002-08-06,-0.0081361639194848,1.0178499144955464,0.0,0.0,0.0,0.0,1.0
2002-08-07,0.0031190680342374,1.0210246576275008,0.0,0.0,0.0,0.0,1.0
2002-08-08,-0.0034797715953623,1.0174717250257241,0.0,0.0,0.0,0.0,1.0
2002-08-09,0.0074239501701435,1.0250253844118449,0.0,0.0,0.0,0.0,1.0
2002-08-12,0.0020264023577447,1.0271024982675652,0.0,0.0,0.0,0.0,1.0
2002-08-13,0.0079435394136949,1.035261327444458,0.0,0.0,0.0,0.0,1.0
2002-08-14,-0.0029568586071012,1.0322002060778048,0.0,0.0,0.0,0.0,1.0
2002-08-15,-0.0058215018207388,1.0261912506987558,0.0,0.0,0.0,0.0,1.0
2002-08-16,-0.0065745859347743,1.0194444681355233,0.0,0.0,0.0,0.0,1.0
2002-08-19,0.0009588465002403,1.0204219588959844,0.0,0.0,0.0,0.0,1.0
2002-08-20,0.009184488307993,1.029794012446684,0.0,0.0,0.0,0.0,1.0
2002-08-21,-0.0024963028689288,1.0272233346990076,0.0,0.0,0.0,0.0,1.0
2002-08-22,-0.0053711583825783,1.021705955474059,0.0,0.0,0.0,0.0,1.0
2002-08-23,0.0045367149995303,1.0263411442073678,0.0,0.0,0.0,0.0,1.0
2002-08-26,0.0004778056076031,1.026831535761384,0.0,0.0,0.0,0.0,1.0
2002-08-27,-0.00298172874136,1.0237698026586695,0.0,0.0,0.0,0.0,1.0
2002-08-28,0.0036955930837419,1.0275532392607187,0.0,0.0,0.0,0.0,1.0
2002-08-29,0.0046283614478187,1.0323091270588942,0.0,0.0,0.0,0.0,1.0
2002-08-30,0.0018933580401777,1.0342636578445599,0.0,0.0,0.0,0.0,1.0
2002-09-03,0.0108531198844413,1.0454886453152676,0.0,0.0,0.0,0.0,1.0
2002-09-04,-0.0003523040833208,1.0451203153964577,0.0,0.0,0.0,0.0,1.0
2002-09-05,0.0039829889225695,1.0492830180354342,0.0,0.0,0.0,0.0,1.0
2002-09-06,-0.0077459929663968,1.0411552791579721,0.0,0.0,0.0,0.0,1.0
2002-09-09,-0.0014145420188024,1.0396825212675052,0.0,0.0,0.0,0.0,1.0
2002-09-10,0.0035332272508625,1.043355955883893,0.0,0.0,0.0,0.0,1.0
2002-09-11,-0.0036518300044338,1.0395457972988915,0.0,0.0,0.0,0.0,1.0
2002-09-12,0.0051792144857805,1.0449298279508943,0.0,0.0,0.0,0.0,1.0
2002-09-13,0.0046843443692493,1.0498246391067168,0.0,0.0,0.0,0.0,1.0
2002-09-16,0.0003513117660074,1.0501934548546794,0.0,0.0,0.0,0.0,1.0
2002-09-17,0.0032647399851232,1.053622063418858,0.0,0.0,0.0,0.0,1.0
2002-09-18,0.0011620368346897,1.0548464110663924,0.0,0.0,0.0,0.0,1.0
2002-09-19,0.0049880892077541,1.0601080790652708,0.0,0.0,0.0,0.0,1.0
2002-09-20,-0.0003470648054961,1.0597401528610053,0.0,0.0,0.0,0.0,1.0
